CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
ไลฟ์ อโศก,4150000,,29,,,1,1,,,13.750283,100.564773
,4635000,,31,,,1,1,,,,
เดอะ ดิโพลแมท 39,16700000,,60,,,1,1,,,13.731507,100.570729
เดอะ พาร์คแลนด์ รัชดา-ท่าพระ,4820000,,61,,,2,1,,,13.71039,100.479278
เดอะ ไลน์ อโศก-รัชดา,7268000,,36,,,1,1,,,13.755979,100.563553
,6420000,,35,,,1,1,,,13.755979,100.563553
คณาพญา เรสซิเดนซ์,20600000,,93,,,2,2,,,13.687258,100.513781
,10565000,,55,,,2,2,,,13.75598,100.568231
,43050000,,140,,,2,3,,,13.730786,100.570792
วิสซ์ดอม สเตชั่น รัชดา-ท่าพระ,2940000,,26,,,1,1,,,13.713712,100.478352
,4900000,,60,,,1,1,,,13.730275,100.579374
,8210000,,45,,,1,1,,,13.749404,100.543869
เอ็ม จตุจักร,5150000,,32,,,1,1,,,13.797477,100.55176
,4895000,19000,39,,,1,1,,,13.707177,100.585732
ฟิวส์ สาทร - ตากสิน,5320000,25000,36,,,1,1,,,13.720432,100.496983
วายน์ สุขุมวิท,4200000,18000,30,,,1,1,,,13.712821,100.594265
แอสปาย สาทร-ท่าพระ,3030000,,31,,,1,1,,,13.715635,100.479962
,3950000,,30,,,1,1,,,13.712821,100.594265
,5510000,,45,,,1,1,,,13.717856,100.516763
คิวเฮ้าส์ คอนโด สาทร ,7020000,,47,,,1,1,,,13.72129,100.501253
,3850000,,27,,,,1,,,13.754357,100.563878
,5580000,,50,,,1,1,,,13.727937,100.560895
โนเบิล รีวอลฟ์ รัชดา 2,4870000,,25,,,1,1,,,13.763628,100.569442
วิชแอทสยาม คอนโดมิเนียม,3300000,,31,,,,1,,1,13.751297,100.528204
แอสปาย พระราม 4,2600000,,28,,,,1,,,13.712091,100.584143
,7200000,25000,32,,,1,1,,,13.736521,100.563365
เออร์บาโน่ แอบโซลูท สาทร-ตากสิน,3750000,16000,30,,,,1,,,13.721125,100.507202
ไลฟ์ อโศก-พระราม 9 ,3000000,1,25,,,,1,,,13.754357,100.563878
ไอดีโอ โมบิ บางซื่อ แกรนด์ อินเตอร์เช้นจ์,2790000,,22,,,,1,,,13.805893,100.533039
ศุภาลัย ปาร์ค เอกมัย-ทองหล่อ,4450000,,55,,,1,1,1,1,13.743637,100.588941
คาซ่า คอนโด รัชดา-ราชพฤกษ์ ,3720000,,36,,,1,1,,,13.713727,100.476237
เดอะ เบส พาร์คเวสต์ - สุขุมวิท 77,3730000,,30,,,1,1,,,13.712959,100.600039
โนเบิล รีวอลฟ์ รัชดา 2,3950000,,26,,,1,1,,,13.763628,100.569442
,5360000,,31,,,1,1,,,13.715203,100.594754
,3610000,,43,,,1,1,,,13.803648,100.577779
เดอะ เทมโป แกรนด์ สาทร-วุฒากาศ,2850000,,30,,,1,1,,,13.712604,100.467943
,5860000,,41,,,1,1,,,13.730928,100.58638
ไฮฟ์ ตากสิน,5000000,18000,40,,,1,1,,,13.721894,100.496529
,8200000,,37,,,1,1,,,13.743168,100.561734
ไลฟ์ อโศก,4490000,,29,,,1,1,,,13.750283,100.564773
,3900000,18000,35,,,1,1,,,13.778353,100.57407
,6437000,,26,,,,1,,,13.722079,100.55337
,6700000,,35,,,1,1,,,13.733349,100.527144
แอสปาย พระราม9,6600000,,49,,,2,1,,,13.754805,100.566923
ไอดีโอ โมบิ สุขุมวิท,4400000,15000,30,,,1,1,,,13.704024,100.602008
,14280000,,70,,,2,1,,,13.722468,100.58455
,7900000,,53,,,1,1,,,13.714246,100.593478
,4300000,,35,,,1,1,,,13.744076,100.587201
,9578100,,51,,,2,2,,,13.714678,100.604522
เดอะ เทอร์ตี้ไนน์ ,18570000,60000,57,,,1,1,,,13.73221,100.570896
วินเซนเต้ สุขุมวิท 49,7350000,35000,67,,,1,1,,,13.737419,100.574615
