CondoName,SalePrice,RentPrice,RoomArea,UnitNbr,FloorNbr,nbrBed,nbrBath,nbrPark,nbrAirCon,Latitude,Longitude
เดอะ ดิโพลแมท 39,23370000,,83,,,2,2,1,3,13.731524,100.570693
ไอดีโอ มอร์ฟ 38,5860000,,37,,,1,1,,,13.720934,100.579078
โนเบิล รีโคล สุขุมวิท 19,6600000,,35,,,1,1,,,13.742184,100.559938
คาซ่า คอนโด อโศก-ดินแดง ,3520000,,26,,,1,1,,,13.760815,100.555733
ไอดีโอ คิว ราชเทวี,6300000,25000,34,,,1,1,,,13.75282,100.533865
เดอะ สกาย สุขุมวิท,3900000,15000,24,,,1,1,,,13.674922,100.611092
วิลล่า สาทร,5960000,,59,,,1,1,,,13.721234,100.504148
เดอะเพรสซิเดนท์ สุขุมวิท,4040000,,34,,,1,1,,,13.707177,100.585732
ชีวาทัย เรสซิเดนซ์ อโศก,5310000,,28,,,1,1,,,13.753899,100.564346
ดี เมโมเรีย พหลโยธิน 8,4150000,,36,,,1,1,,,13.778323,100.548591
แชปเตอร์วัน มิดทาวน์ ลาดพร้าว 24,3010000,,24,,,1,1,,,13.806471,100.572747
,4060000,17000,31,,,1,1,,,13.778939,100.541305
แอชตัน อโศก,10825000,,34,,,1,1,,,13.738898,100.5609
วิสซ์ดอม คอนเนค สุขุมวิท,3697700,,29,,,1,1,,,13.685642,100.610619
ริทึ่ม รัชดา,5320000,,46,,,1,1,,,13.798751,100.575843
มาเอสโตร 03 รัชดา - พระราม 9,4140000,,29,,,1,1,,,13.76283,100.564577
แอชตัน สีลม,15000000,,49,,,1,1,,,13.726391,100.526828
,11034000,,46,,,1,1,,,13.74228,100.559167
,4160000,,35,,,1,1,,,13.744076,100.587201
,3050000,18000,35,,,1,1,,,13.735621,100.574674
มาย คอนโด สาทร-ตากสิน,2240000,,25,,,1,1,,,13.722601,100.495837
เอสวี ซิตี้ พระราม 3 ,3720000,,90,,,3,2,,,13.673366,100.543027
,4160000,,32,,,1,1,,,13.795069,100.550558
ไอดีโอ สุขุมวิท 93,4150000,,32,,,1,1,,,13.698563,100.604805
แชปเตอร์วัน มิดทาวน์ ลาดพร้าว 24,4050000,,30,,,1,1,,,13.806471,100.572747
มาเอสโตร 03 รัชดา - พระราม 9,4460000,,33,,,1,1,,,13.76283,100.564577
วิสซ์ดอม สเตชั่น รัชดา-ท่าพระ,3900000,,28,,,1,1,,,13.713712,100.478352
โนเบิล รีดี,9900000,,56,,,2,1,,,13.780238,100.54375
ไลฟ์ อโศก-พระราม 9 ,5048000,,35,,,1,1,,,13.754357,100.563878
,5400000,,60,,,1,1,,,13.738538,100.587179
,3371000,,25,,,,1,,,13.724903,100.563369
,5700000,25000,44,,,1,1,,,13.70615,100.601615
ไอดีโอเวิร์ฟ,7660000,,59,,,1,1,,,13.754496,100.54253
ไลฟ์ อโศก-พระราม 9 ,4100000,,32,,,1,1,,,13.754357,100.563878
ไอดีโอมิกซ์ สุขุมวิท 103 ,3100000,,25,,,,1,,,13.680549,100.610491
,3500000,,34,,,1,1,,,13.687065,100.605973
เดอะ พาร์คแลนด์ ตากสิน-ท่าพระ,3820000,,34,,,1,1,,,13.716554,100.480646
ไอดีโอ สุขุมวิท 93,3490000,,26,,,1,1,,,13.698563,100.604805
เอสแอนด์เอส สุขุมวิท,2330000,,38,,,1,1,,,13.683741,100.614941
ไลฟ์ แอท รัชดา-ห้วยขวาง,4260000,20000,41,,,1,1,,,13.778809,100.574207
ลุมพินี เพลส พระราม 4-กล้วยน้ำไท,2450000,,28,,,,,1,1,13.712832,100.582525
เซ็นทริค สาทร-เซนต์หลุยส์,12500000,,84,,,2,2,,,13.718619,100.527063
ศุภาลัย ริเวอร์ รีสอร์ท,24210000,,175,,,3,4,,,13.708888,100.495038
เซอร์เคิล ลิฟวิ่ง โปรโตไทพ์,13300000,,83,,,2,2,,,13.749906,100.556175
ไอดีโอเวิร์ฟ,4790000,20000,35,,,1,1,,,13.754496,100.54253
คิวเฮ้าส์ คอนโด สาทร ,7950000,,57,,,2,2,,,13.72129,100.501253
ศุภาลัย เวลลิงตัน 2,3760000,,45,,,1,1,,,13.767032,100.578865
เทลลา ทองหล่อ,38000000,,111,,,2,2,,,13.733247,100.582097
